date,state,fips,cases,deaths
2021-01-17,Alabama,01,422598,6120
2021-01-17,Alaska,02,51630,220
2021-01-17,Arizona,04,673882,11266
2021-01-17,Arkansas,05,271154,4311
2021-01-17,California,06,3006583,33593
2021-01-17,Colorado,08,376921,5454
2021-01-17,Connecticut,09,223422,6594
2021-01-17,Delaware,10,70294,1016
2021-01-17,District of Columbia,11,33851,850
2021-01-17,Florida,12,1571271,24136
2021-01-17,Georgia,13,791322,11906
2021-01-17,Guam,66,8453,128
2021-01-17,Hawaii,15,24309,319
2021-01-17,Idaho,16,155617,1609
2021-01-17,Illinois,17,1071307,20052
2021-01-17,Indiana,18,593262,9310
2021-01-17,Iowa,19,305151,4323
2021-01-17,Kansas,20,259226,3502
2021-01-17,Kentucky,21,329816,3428
2021-01-17,Louisiana,22,368980,8203
2021-01-17,Maine,23,33559,511
2021-01-17,Maryland,24,326648,6567
2021-01-17,Massachusetts,25,470140,13652
2021-01-17,Michigan,26,580394,14658
2021-01-17,Minnesota,27,446448,5995
2021-01-17,Mississippi,28,252475,5521
2021-01-17,Missouri,29,468106,6647
2021-01-17,Montana,30,89393,1092
2021-01-17,Nebraska,31,182139,1893
2021-01-17,Nevada,32,261847,3784
2021-01-17,New Hampshire,33,56864,933
2021-01-17,New Jersey,34,627221,20439
2021-01-17,New Mexico,35,163637,2934
2021-01-17,New York,36,1242818,40570
2021-01-17,North Carolina,37,675272,8125
2021-01-17,North Dakota,38,95886,1406
2021-01-17,Northern Mariana Islands,69,128,2
2021-01-17,Ohio,39,826754,10200
2021-01-17,Oklahoma,40,354979,2987
2021-01-17,Oregon,41,133205,1801
2021-01-17,Pennsylvania,42,772747,19310
2021-01-17,Puerto Rico,72,120996,1703
2021-01-17,Rhode Island,44,104443,2005
2021-01-17,South Carolina,45,388184,6237
2021-01-17,South Dakota,46,105544,1656
2021-01-17,Tennessee,47,672292,8312
2021-01-17,Texas,48,2127334,32747
2021-01-17,Utah,49,323837,1493
2021-01-17,Vermont,50,10057,163
2021-01-17,Virgin Islands,78,2260,24
2021-01-17,Virginia,51,439305,5729
2021-01-17,Washington,53,293296,3971
2021-01-17,West Virginia,54,108821,1776
2021-01-17,Wisconsin,55,568166,5907
2021-01-17,Wyoming,56,49363,522
