date,state,fips,cases,deaths
2021-05-06,Alabama,01,530011,10946
2021-05-06,Alaska,02,68208,332
2021-05-06,Arizona,04,866623,17367
2021-05-06,Arkansas,05,336948,5757
2021-05-06,California,06,3752932,62153
2021-05-06,Colorado,08,521743,6482
2021-05-06,Connecticut,09,342282,8131
2021-05-06,Delaware,10,105572,1629
2021-05-06,District of Columbia,11,48080,1110
2021-05-06,Florida,12,2258425,35548
2021-05-06,Georgia,13,1082584,19661
2021-05-06,Guam,66,8989,140
2021-05-06,Hawaii,15,33309,483
2021-05-06,Idaho,16,188668,2055
2021-05-06,Illinois,17,1352140,24483
2021-05-06,Indiana,18,729923,13379
2021-05-06,Iowa,19,366946,5980
2021-05-06,Kansas,20,312206,5041
2021-05-06,Kentucky,21,450840,6664
2021-05-06,Louisiana,22,461210,10425
2021-05-06,Maine,23,63175,793
2021-05-06,Maryland,24,451458,8822
2021-05-06,Massachusetts,25,694769,17663
2021-05-06,Michigan,26,955197,19209
2021-05-06,Minnesota,27,584320,7297
2021-05-06,Mississippi,28,312926,7226
2021-05-06,Missouri,29,604806,9323
2021-05-06,Montana,30,109704,1580
2021-05-06,Nebraska,31,220933,2379
2021-05-06,Nevada,32,317482,5490
2021-05-06,New Hampshire,33,96134,1311
2021-05-06,New Jersey,34,1005938,25740
2021-05-06,New Mexico,35,199054,4091
2021-05-06,New York,36,2062707,52038
2021-05-06,North Carolina,37,985775,12761
2021-05-06,North Dakota,38,108249,1530
2021-05-06,Northern Mariana Islands,69,168,2
2021-05-06,Ohio,39,1080121,19344
2021-05-06,Oklahoma,40,449414,6832
2021-05-06,Oregon,41,189162,2531
2021-05-06,Pennsylvania,42,1171863,26497
2021-05-06,Puerto Rico,72,167461,2348
2021-05-06,Rhode Island,44,149384,2685
2021-05-06,South Carolina,45,582506,9558
2021-05-06,South Dakota,46,123157,1977
2021-05-06,Tennessee,47,837185,12148
2021-05-06,Texas,48,2909093,50690
2021-05-06,Utah,49,399439,2219
2021-05-06,Vermont,50,23296,249
2021-05-06,Virgin Islands,78,3152,27
2021-05-06,Virginia,51,664394,10861
2021-05-06,Washington,53,412986,5598
2021-05-06,West Virginia,54,155341,2713
2021-05-06,Wisconsin,55,664673,7614
2021-05-06,Wyoming,56,58527,710
