date,state,fips,cases,deaths
2021-09-21,Alabama,01,775531,13460
2021-09-21,Alaska,02,102551,463
2021-09-21,Arizona,04,1070757,19584
2021-09-21,Arkansas,05,486853,7499
2021-09-21,California,06,4669895,68244
2021-09-21,Colorado,08,658712,7605
2021-09-21,Connecticut,09,386182,8477
2021-09-21,Delaware,10,128964,1927
2021-09-21,District of Columbia,11,59712,1171
2021-09-21,Florida,12,3517177,51889
2021-09-21,Georgia,13,1510443,24114
2021-09-21,Guam,66,14828,182
2021-09-21,Hawaii,15,73841,711
2021-09-21,Idaho,16,245458,2663
2021-09-21,Illinois,17,1606469,27299
2021-09-21,Indiana,18,940608,15239
2021-09-21,Iowa,19,437872,6401
2021-09-21,Kansas,20,400540,5939
2021-09-21,Kentucky,21,666269,8450
2021-09-21,Louisiana,22,730099,13558
2021-09-21,Maine,23,84542,1002
2021-09-21,Maryland,24,521438,10309
2021-09-21,Massachusetts,25,796925,18480
2021-09-21,Michigan,26,1115997,22020
2021-09-21,Minnesota,27,690484,8104
2021-09-21,Mississippi,28,477769,9331
2021-09-21,Missouri,29,821413,11955
2021-09-21,Montana,30,142655,1901
2021-09-21,Nebraska,31,260199,2634
2021-09-21,Nevada,32,413547,6918
2021-09-21,New Hampshire,33,115612,1462
2021-09-21,New Jersey,34,1137016,27240
2021-09-21,New Mexico,35,246639,4702
2021-09-21,New York,36,2380164,54559
2021-09-21,North Carolina,37,1353006,15829
2021-09-21,North Dakota,38,126675,1626
2021-09-21,Northern Mariana Islands,69,265,2
2021-09-21,Ohio,39,1358918,21596
2021-09-21,Oklahoma,40,598556,8440
2021-09-21,Oregon,41,314841,3624
2021-09-21,Pennsylvania,42,1387872,28932
2021-09-21,Puerto Rico,72,212847,3092
2021-09-21,Rhode Island,44,169686,2816
2021-09-21,South Carolina,45,832466,11828
2021-09-21,South Dakota,46,141141,2108
2021-09-21,Tennessee,47,1163270,14334
2021-09-21,Texas,48,3954709,62778
2021-09-21,Utah,49,495796,2829
2021-09-21,Vermont,50,31911,301
2021-09-21,Virgin Islands,78,6489,67
2021-09-21,Virginia,51,839475,12364
2021-09-21,Washington,53,633424,7372
2021-09-21,West Virginia,54,225772,3441
2021-09-21,Wisconsin,55,784048,8731
2021-09-21,Wyoming,56,86052,955
